"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RGS22",-4.66933520185665,5.20081347826087,-21.7565033839244,1.01092564214337e-72,7.61167542319717e-71,154.973311365529
"RFC4",1.3897087806993,8.49441956521739,21.7545415836166,1.03248216340382e-72,7.73896540497279e-71,154.952275156451
"KIAA0232",-1.28954084058045,10.5113658695652,-21.7462043115176,1.12934117799895e-72,8.42701219816259e-71,154.862874988949
"SLC26A9",3.6176552140981,2.01209956521739,21.7290787734663,1.35774345734397e-72,1.00860942545552e-70,154.679236960488
"FOXP1",-1.34581379969907,10.6859506521739,-21.6669321623024,2.64916976391197e-72,1.9592082165109e-70,154.012817963561
"X..90288",-3.05770294815232,4.78649369565217,-21.641340294304,3.48863037426364e-72,2.56861988618349e-70,153.73838059234
"LOC100127888",2.92376532095588,1.7238347826087,21.6269715955451,4.07169312933686e-72,2.98471249657116e-70,153.584294569305
"RARA",-1.8119572517916,10.8256752173913,-21.5936371171394,5.82762179924808e-72,4.25314152366175e-70,153.22682065583
"CDCA2",2.60444064165669,6.84040869565217,21.5839191763837,6.46975049027946e-72,4.70116367503276e-70,153.12260596018
"SLC16A6",-3.78381352171586,7.3435,-21.5806776142685,6.69931097719515e-72,4.84680585480553e-70,153.087843525588
"C4orf32",-2.16829619749561,9.39137695652174,-21.5474919403436,9.57314412247505e-72,6.89597914276991e-70,152.731958787857
"NEK10",-4.95218717451738,5.95436543478261,-21.4940355922687,1.70128034723974e-71,1.22022866284781e-69,152.158682923244
